House ID,Bathrooms,Land Area,Living area,# Garages,# Rooms,# Bedrooms,Age of home,Price
1,1,3.472,0.998,1,7,4,42,491760
2,1,3.531,1.5,2,7,4,62,502080
3,1,2.275,1.175,1,6,3,40,454290
4,1,4.05,1.232,1,6,3,54,455730
5,1,4.455,1.121,1,6,3,42,505970
6,1,4.455,0.988,1,6,3,56,389100
7,1,5.85,1.24,1,7,3,51,589800
8,1,9.52,1.501,0,6,3,32,560390
9,2.5,9.8,3.42,2,10,5,42,1642020
10,2.5,12.8,3,2,9,5,14,1445980
11,1,6.435,1.225,2,6,3,32,582820
12,1,4.9883,1.552,1,6,3,30,530030
13,1,5.52,0.975,1,5,2,30,627120
14,1,6.666,1.121,2,6,3,32,595920
15,1,5,1.02,0,5,2,46,505000
16,1,9.52,1.501,0,6,3,32,560390
17,1.5,5.15,1.664,2,8,4,50,824640
18,1.5,6.902,1.488,1.5,7,3,22,669690
19,1.5,7.102,1.376,1,6,3,17,778410
20,1,7.8,1.5,1.5,7,3,23,903840
